,Province,Year,Population
2,Hà Nội,2011,6825.8
3,Vĩnh Phúc,2011,1029.5
4,Bắc Ninh,2011,1072.4
5,Quảng Ninh,2011,1181.5
6,Hải Dương,2011,1747.8
7,Hải Phòng,2011,1886.2
8,Hưng Yên,2011,1150.7
9,Thái Bình,2011,1798.7
10,Hà Nam,2011,795.6
11,Nam Định,2011,1816.8
12,Ninh Bình,2011,911.7
14,Hà Giang,2011,749.5
15,Cao Bằng,2011,514.0
16,Bắc Kạn,2011,298.7
17,Tuyên Quang,2011,733.6
18,Lào Cai,2011,638.1
19,Yên Bái,2011,758.6
20,Thái Nguyên,2011,1139.4
21,Lạng Sơn,2011,740.9
22,Bắc Giang,2011,1586.0
23,Phú Thọ,2011,1329.3
24,Điện Biên,2011,512.8
25,Lai Châu,2011,392.9
26,Sơn La,2011,1115.2
27,Hòa Bình,2011,802.2
29,Thanh Hóa,2011,3427.6
30,Nghệ An,2011,2996.1
31,Hà Tĩnh,2011,1236.7
32,Quảng Bình,2011,854.6
33,Quảng Trị,2011,604.7
34,Thừa Thiên Huế,2011,1100.8
35,Đà Nẵng,2011,968.7
36,Quảng Nam,2011,1436.8
37,Quảng Ngãi,2011,1220.1
38,Bình Định,2011,1487.5
39,Phú Yên,2011,864.0
40,Khánh Hòa,2011,1170.2
41,Ninh Thuận,2011,567.9
42,Bình Thuận,2011,1180.7
44,Kon Tum,2011,451.6
45,Gia Lai,2011,1336.1
46,Đắk Lắk,2011,1760.4
47,Đắk Nông,2011,512.7
48,Lâm Đồng,2011,1217.2
50,Bình Phước,2011,899.6
51,Tây Ninh,2011,1090.1
52,Bình Dương,2011,1699.9
53,Đồng Nai,2011,2661.8
54,Bà Rịa - Vũng Tàu,2011,1040.8
55,TP.Hồ Chí Minh,2011,7613.4
57,Long An,2011,1504.1
58,Tiền Giang,2011,1682.6
59,Bến Tre,2011,1262.7
60,Trà Vinh,2011,1004.3
61,Vĩnh Long,2011,1024.8
62,Đồng Tháp,2011,1653.2
63,An Giang,2011,2097.5
64,Kiên Giang,2011,1694.4
65,Cần Thơ,2011,1195.9
66,Hậu Giang,2011,752.7
67,Sóc Trăng,2011,1273.9
68,Bạc Liêu,2011,866.9
69,Cà Mau,2011,1204.5
72,Hà Nội,2012,6991.4
73,Vĩnh Phúc,2012,1047.4
74,Bắc Ninh,2012,1104.7
75,Quảng Ninh,2012,1198.4
76,Hải Dương,2012,1767.8
77,Hải Phòng,2012,1912.9
78,Hưng Yên,2012,1162.9
79,Thái Bình,2012,1806.5
80,Hà Nam,2012,800.8
81,Nam Định,2012,1811.5
82,Ninh Bình,2012,921.0
84,Hà Giang,2012,763.5
85,Cao Bằng,2012,515.9
86,Bắc Kạn,2012,300.8
87,Tuyên Quang,2012,738.5
88,Lào Cai,2012,649.5
89,Yên Bái,2012,765.7
90,Thái Nguyên,2012,1149.1
91,Lạng Sơn,2012,745.1
92,Bắc Giang,2012,1607.8
93,Phú Thọ,2012,1340.8
94,Điện Biên,2012,523.9
95,Lai Châu,2012,403.0
96,Sơn La,2012,1129.9
97,Hòa Bình,2012,808.4
99,Thanh Hóa,2012,3449.4
100,Nghệ An,2012,3036.0
101,Hà Tĩnh,2012,1242.1
102,Quảng Bình,2012,859.8
103,Quảng Trị,2012,607.8
104,Thừa Thiên Huế,2012,1105.8
105,Đà Nẵng,2012,996.3
106,Quảng Nam,2012,1444.0
107,Quảng Ngãi,2012,1221.8
108,Bình Định,2012,1487.5
109,Phú Yên,2012,864.9
110,Khánh Hòa,2012,1177.6
111,Ninh Thuận,2012,571.3
112,Bình Thuận,2012,1189.6
114,Kon Tum,2012,462.7
115,Gia Lai,2012,1360.0
116,Đắk Lắk,2012,1777.3
117,Đắk Nông,2012,529.4
118,Lâm Đồng,2012,1228.7
120,Bình Phước,2012,911.4
121,Tây Ninh,2012,1103.4
122,Bình Dương,2012,1789.7
123,Đồng Nai,2012,2719.0
124,Bà Rịa - Vũng Tàu,2012,1057.8
125,TP.Hồ Chí Minh,2012,7789.9
127,Long An,2012,1549.8
128,Tiền Giang,2012,1692.5
129,Bến Tre,2012,1266.7
130,Trà Vinh,2012,1005.1
131,Vĩnh Long,2012,1022.6
132,Đồng Tháp,2012,1646.2
133,An Giang,2012,2077.9
134,Kiên Giang,2012,1698.1
