,Province,Year,Sex_ratio
0,Country,2011,97.96
2,Hà Nội,2011,96.94
3,Hà Tây,2011,..
4,Vĩnh Phúc,2011,97.58
5,Bắc Ninh,2011,96.66
6,Quảng Ninh,2011,104.11
7,Hải Dương,2011,96.39
8,Hải Phòng,2011,98.43
9,Hưng Yên,2011,96.87
10,Thái Bình,2011,93.64
11,Hà Nam,2011,95.74
12,Nam Định,2011,95.72
13,Ninh Bình,2011,98.81
15,Hà Giang,2011,99.79
16,Cao Bằng,2011,98.87
17,Bắc Kạn,2011,102.13
18,Tuyên Quang,2011,100.59
19,Lào Cai,2011,101.70
20,Yên Bái,2011,100.26
21,Thái Nguyên,2011,97.21
22,Lạng Sơn,2011,100.12
23,Bắc Giang,2011,98.80
24,Phú Thọ,2011,97.30
25,Điện Biên,2011,100.63
26,Lai Châu,2011,103.83
27,Sơn La,2011,101.43
28,Hòa Bình,2011,98.78
29,Bắc Trung Bộ và duyên hải miền Trung,2011,97.93
30,Thanh Hóa,2011,98.08
31,Nghệ An,2011,98.30
32,Hà Tĩnh,2011,98.02
33,Quảng Bình,2011,99.93
34,Quảng Trị,2011,97.62
35,Thừa Thiên - Huế,2011,97.73
36,Đà Nẵng,2011,97.29
37,Quảng Nam,2011,95.34
38,Quảng Ngãi,2011,97.36
39,Bình Định,2011,95.38
40,Phú Yên,2011,100.41
41,Khánh Hòa,2011,97.85
42,Ninh Thuận,2011,99.59
43,Bình Thuận,2011,100.45
45,Kon Tum,2011,102.27
46,Gia Lai,2011,100.75
47,Đắk Lắk,2011,101.91
48,Đắk Nông,2011,107.81
49,Lâm Đồng,2011,101.01
51,Bình Phước,2011,102.85
52,Tây Ninh,2011,99.20
53,Bình Dương,2011,94.32
54,Đồng Nai,2011,98.62
55,Bà Rịa - Vũng Tàu,2011,100.08
56,TP. Hồ Chí Minh,2011,92.92
58,Long An,2011,98.82
59,Tiền Giang,2011,96.94
60,Bến Tre,2011,96.21
61,Trà Vinh,2011,97.05
62,Vĩnh Long,2011,96.97
63,Đồng Tháp,2011,99.47
64,An Giang,2011,98.70
65,Kiên Giang,2011,102.08
66,Cần Thơ,2011,98.44
67,Hậu Giang,2011,100.97
68,Sóc Trăng,2011,98.93
69,Bạc Liêu,2011,99.60
70,Cà Mau,2011,101.36
71,Country,2012,98.08
73,Hà Nội,2012,97.11
74,Hà Tây,2012,..
75,Vĩnh Phúc,2012,97.58
76,Bắc Ninh,2012,96.78
77,Quảng Ninh,2012,104.03
78,Hải Dương,2012,96.68
79,Hải Phòng,2012,98.46
80,Hưng Yên,2012,97.41
81,Thái Bình,2012,93.78
82,Hà Nam,2012,95.90
83,Nam Định,2012,95.70
84,Ninh Bình,2012,98.86
86,Hà Giang,2012,100.03
87,Cao Bằng,2012,99.06
88,Bắc Kạn,2012,102.37
89,Tuyên Quang,2012,100.70
90,Lào Cai,2012,101.92
91,Yên Bái,2012,100.67
92,Thái Nguyên,2012,97.21
93,Lạng Sơn,2012,100.67
94,Bắc Giang,2012,99.04
95,Phú Thọ,2012,97.27
96,Điện Biên,2012,100.89
97,Lai Châu,2012,103.83
98,Sơn La,2012,101.60
99,Hòa Bình,2012,98.93
100,Bắc Trung Bộ và duyên hải miền Trung,2012,98.05
101,Thanh Hóa,2012,98.27
102,Nghệ An,2012,98.45
103,Hà Tĩnh,2012,98.13
104,Quảng Bình,2012,99.81
105,Quảng Trị,2012,97.71
106,Thừa Thiên - Huế,2012,97.76
107,Đà Nẵng,2012,97.28
108,Quảng Nam,2012,95.56
109,Quảng Ngãi,2012,97.39
110,Bình Định,2012,95.44
111,Phú Yên,2012,100.59
112,Khánh Hòa,2012,98.15
113,Ninh Thuận,2012,99.72
114,Bình Thuận,2012,100.52
116,Kon Tum,2012,102.11
117,Gia Lai,2012,100.71
118,Đắk Lắk,2012,101.88
119,Đắk Nông,2012,107.63
120,Lâm Đồng,2012,101.07
122,Bình Phước,2012,102.70
123,Tây Ninh,2012,99.28
124,Bình Dương,2012,95.16
125,Đồng Nai,2012,98.88
126,Bà Rịa - Vũng Tàu,2012,100.16
127,TP. Hồ Chí Minh,2012,93.18
129,Long An,2012,98.91
130,Tiền Giang,2012,96.19
131,Bến Tre,2012,96.16
132,Trà Vinh,2012,97.04
133,Vĩnh Long,2012,96.99
134,Đồng Tháp,2012,99.52
135,An Giang,2012,98.69
136,Kiên Giang,2012,102.17
137,Cần Thơ,2012,98.44
138,Hậu Giang,2012,100.83
139,Sóc Trăng,2012,98.99
140,Bạc Liêu,2012,99.68
141,Cà Mau,2012,101.52
142,Country,2013,98.20
144,Hà Nội,2013,97.28
145,Hà Tây,2013,..
146,Vĩnh Phúc,2013,97.58
147,Bắc Ninh,2013,96.90
148,Quảng Ninh,2013,103.95
149,Hải Dương,2013,96.98
150,Hải Phòng,2013,98.50
151,Hưng Yên,2013,97.62
152,Thái Bình,2013,93.94
153,Hà Nam,2013,96.05
154,Nam Định,2013,95.70
155,Ninh Bình,2013,98.91
157,Hà Giang,2013,100.58
158,Cao Bằng,2013,99.25
159,Bắc Kạn,2013,102.61
160,Tuyên Quang,2013,100.80
161,Lào Cai,2013,102.14
162,Yên Bái,2013,100.61
163,Thái Nguyên,2013,97.21
164,Lạng Sơn,2013,101.22
165,Bắc Giang,2013,99.29
166,Phú Thọ,2013,97.50
167,Điện Biên,2013,101.14
168,Lai Châu,2013,103.83
169,Sơn La,2013,101.76
170,Hòa Bình,2013,99.08
